;ANO_ELEICAO;DT_ELEICAO;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_LOCAL_VOTACAO;CD_TIPO_SECAO_AGREGADA;DS_TIPO_SECAO_AGREGADA;NM_LOCAL_VOTACAO;CD_TIPO_LOCAL;DS_TIPO_LOCAL;DS_ENDERECO;NM_BAIRRO;NR_CEP;NR_LATITUDE;NR_LONGITUDE;CD_SITU_LOCAL_VOTACAO;DS_SITU_LOCAL_VOTACAO;CD_SITU_ZONA;DS_SITU_ZONA;CD_SITU_SECAO;DS_SITU_SECAO;CD_SITU_LOCALIDADE;DS_SITU_LOCALIDADE;CD_SITU_SECAO_ACESSIBILIDADE;DS_SITU_SECAO_ACESSIBILIDADE;QT_ELEITOR;QT_ELEITOR_ELEICAO
11;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;35;28300;ANDERSON CARNEIRO DA SILVA;1;1090;1;Principal;EE PROFA LUIZA COLLACO QUEIROZ  FONSECA;1;Convencional;RUA VICENTE MOREIRA DA ROCHA, 44;FERRAZÓPOLIS;9790100;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;370;370
12;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;36;44444;ANDERSON CARNEIRO DA SILVA;3;1090;1;Principal;EE PROFA LUIZA COLLACO QUEIROZ  FONSECA;1;Convencional;RUA VICENTE MOREIRA DA ROCHA, 44;FERRAZÓPOLIS;9790100;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;383;383
13;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;36;28300;ANDERSON CARNEIRO DA SILVA;1;1090;1;Principal;EE PROFA LUIZA COLLACO QUEIROZ  FONSECA;1;Convencional;RUA VICENTE MOREIRA DA ROCHA, 44;FERRAZÓPOLIS;9790100;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;383;383
14;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;37;44444;ANDERSON CARNEIRO DA SILVA;1;1090;1;Principal;EE PROFA LUIZA COLLACO QUEIROZ  FONSECA;1;Convencional;RUA VICENTE MOREIRA DA ROCHA, 44;FERRAZÓPOLIS;9790100;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;351;351
15;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;37;28300;ANDERSON CARNEIRO DA SILVA;1;1090;1;Principal;EE PROFA LUIZA COLLACO QUEIROZ  FONSECA;1;Convencional;RUA VICENTE MOREIRA DA ROCHA, 44;FERRAZÓPOLIS;9790100;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;351;351
16;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;38;44444;ANDERSON CARNEIRO DA SILVA;2;1090;1;Principal;EE PROFA LUIZA COLLACO QUEIROZ  FONSECA;1;Convencional;RUA VICENTE MOREIRA DA ROCHA, 44;FERRAZÓPOLIS;9790100;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;354;354
17;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;38;28300;ANDERSON CARNEIRO DA SILVA;1;1090;1;Principal;EE PROFA LUIZA COLLACO QUEIROZ  FONSECA;1;Convencional;RUA VICENTE MOREIRA DA ROCHA, 44;FERRAZÓPOLIS;9790100;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;354;354
18;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;40;44444;ANDERSON CARNEIRO DA SILVA;1;1090;1;Principal;EE PROFA LUIZA COLLACO QUEIROZ  FONSECA;1;Convencional;RUA VICENTE MOREIRA DA ROCHA, 44;FERRAZÓPOLIS;9790100;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;358;358
19;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;40;28300;ANDERSON CARNEIRO DA SILVA;1;1090;1;Principal;EE PROFA LUIZA COLLACO QUEIROZ  FONSECA;1;Convencional;RUA VICENTE MOREIRA DA ROCHA, 44;FERRAZÓPOLIS;9790100;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;358;358
20;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;41;44444;ANDERSON CARNEIRO DA SILVA;1;1090;1;Principal;EE PROFA LUIZA COLLACO QUEIROZ  FONSECA;1;Convencional;RUA VICENTE MOREIRA DA ROCHA, 44;FERRAZÓPOLIS;9790100;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;358;358
21;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;41;28300;ANDERSON CARNEIRO DA SILVA;2;1090;1;Principal;EE PROFA LUIZA COLLACO QUEIROZ  FONSECA;1;Convencional;RUA VICENTE MOREIRA DA ROCHA, 44;FERRAZÓPOLIS;9790100;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;358;358
22;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;43;44444;ANDERSON CARNEIRO DA SILVA;3;1090;1;Principal;EE PROFA LUIZA COLLACO QUEIROZ  FONSECA;1;Convencional;RUA VICENTE MOREIRA DA ROCHA, 44;FERRAZÓPOLIS;9790100;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;382;382
23;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;44;44444;ANDERSON CARNEIRO DA SILVA;1;1090;1;Principal;EE PROFA LUIZA COLLACO QUEIROZ  FONSECA;1;Convencional;RUA VICENTE MOREIRA DA ROCHA, 44;FERRAZÓPOLIS;9790100;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;375;375
24;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;45;44444;ANDERSON CARNEIRO DA SILVA;2;1090;1;Principal;EE PROFA LUIZA COLLACO QUEIROZ  FONSECA;1;Convencional;RUA VICENTE MOREIRA DA ROCHA, 44;FERRAZÓPOLIS;9790100;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;373;373
25;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;47;44444;ANDERSON CARNEIRO DA SILVA;1;1104;1;Principal;EE PROFA MARIA CRISTINA SCHIMIDT MIRANDA;1;Convencional;RUA ABRAMO LUCHESI, 12;JARDIM LEBLON;9781030;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;327;327
26;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;47;28300;ANDERSON CARNEIRO DA SILVA;1;1104;1;Principal;EE PROFA MARIA CRISTINA SCHIMIDT MIRANDA;1;Convencional;RUA ABRAMO LUCHESI, 12;JARDIM LEBLON;9781030;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;327;327
27;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;48;44444;ANDERSON CARNEIRO DA SILVA;1;1104;1;Principal;EE PROFA MARIA CRISTINA SCHIMIDT MIRANDA;1;Convencional;RUA ABRAMO LUCHESI, 12;JARDIM LEBLON;9781030;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;316;316
28;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;48;28300;ANDERSON CARNEIRO DA SILVA;1;1104;1;Principal;EE PROFA MARIA CRISTINA SCHIMIDT MIRANDA;1;Convencional;RUA ABRAMO LUCHESI, 12;JARDIM LEBLON;9781030;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;316;316
29;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;49;44444;ANDERSON CARNEIRO DA SILVA;1;1104;1;Principal;EE PROFA MARIA CRISTINA SCHIMIDT MIRANDA;1;Convencional;RUA ABRAMO LUCHESI, 12;JARDIM LEBLON;9781030;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;334;334
30;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;49;28300;ANDERSON CARNEIRO DA SILVA;1;1104;1;Principal;EE PROFA MARIA CRISTINA SCHIMIDT MIRANDA;1;Convencional;RUA ABRAMO LUCHESI, 12;JARDIM LEBLON;9781030;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;334;334
31;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;51;44444;ANDERSON CARNEIRO DA SILVA;1;1104;1;Principal;EE PROFA MARIA CRISTINA SCHIMIDT MIRANDA;1;Convencional;RUA ABRAMO LUCHESI, 12;JARDIM LEBLON;9781030;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;1;Com acessibilidade;313;313
32;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;56;44444;ANDERSON CARNEIRO DA SILVA;3;1104;1;Principal;EE PROFA MARIA CRISTINA SCHIMIDT MIRANDA;1;Convencional;RUA ABRAMO LUCHESI, 12;JARDIM LEBLON;9781030;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;355;355
33;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;56;28300;ANDERSON CARNEIRO DA SILVA;1;1104;1;Principal;EE PROFA MARIA CRISTINA SCHIMIDT MIRANDA;1;Convencional;RUA ABRAMO LUCHESI, 12;JARDIM LEBLON;9781030;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;355;355
34;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;59;44444;ANDERSON CARNEIRO DA SILVA;2;1104;1;Principal;EE PROFA MARIA CRISTINA SCHIMIDT MIRANDA;1;Convencional;RUA ABRAMO LUCHESI, 12;JARDIM LEBLON;9781030;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;358;358
35;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;60;44444;ANDERSON CARNEIRO DA SILVA;1;1104;1;Principal;EE PROFA MARIA CRISTINA SCHIMIDT MIRANDA;1;Convencional;RUA ABRAMO LUCHESI, 12;JARDIM LEBLON;9781030;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;329;329
36;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;61;44444;ANDERSON CARNEIRO DA SILVA;3;1104;1;Principal;EE PROFA MARIA CRISTINA SCHIMIDT MIRANDA;1;Convencional;RUA ABRAMO LUCHESI, 12;JARDIM LEBLON;9781030;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;344;344
37;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;62;44444;ANDERSON CARNEIRO DA SILVA;1;1104;1;Principal;EE PROFA MARIA CRISTINA SCHIMIDT MIRANDA;1;Convencional;RUA ABRAMO LUCHESI, 12;JARDIM LEBLON;9781030;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;335;335
38;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;69;44444;ANDERSON CARNEIRO DA SILVA;1;1112;1;Principal;EE BRASILIA TONDI DE LIMA;1;Convencional;AVENIDA ISABEL DE ANDRADE MAIA, 7;VILA SAO JOSÉ;9790430;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;338;338
39;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;75;44444;ANDERSON CARNEIRO DA SILVA;1;1198;1;Principal;EE PROF NILO CAMPOS GOMES;1;Convencional;RUA FLORA BULCAO LAMARTINE VERTAMATE, S/N;FERRAZÓPOLIS;9791180;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;367;367
40;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;75;28300;ANDERSON CARNEIRO DA SILVA;1;1198;1;Principal;EE PROF NILO CAMPOS GOMES;1;Convencional;RUA FLORA BULCAO LAMARTINE VERTAMATE, S/N;FERRAZÓPOLIS;9791180;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;367;367
41;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;82;44444;ANDERSON CARNEIRO DA SILVA;1;1201;1;Principal;EMEB ANTONIO DE LIMA;1;Convencional;RUA DOUTOR FERNANDO MASCARENHAS, 100;JARDIM SILVINA;9791020;-1,0;-1,0;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;346;346
42;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;86;44444;ANDERSON CARNEIRO DA SILVA;1;1120;1;Principal;EMEB  PREFEITO ALDINO PINOTTI;1;Convencional;RUA ANTONIO SIMIONATO, 103;VILA SANTA TEREZINHA;9780180;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;355;355
43;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;86;28300;ANDERSON CARNEIRO DA SILVA;1;1120;1;Principal;EMEB  PREFEITO ALDINO PINOTTI;1;Convencional;RUA ANTONIO SIMIONATO, 103;VILA SANTA TEREZINHA;9780180;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;355;355
44;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;88;44444;ANDERSON CARNEIRO DA SILVA;1;1120;1;Principal;EMEB  PREFEITO ALDINO PINOTTI;1;Convencional;RUA ANTONIO SIMIONATO, 103;VILA SANTA TEREZINHA;9780180;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;357;357
45;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;88;28300;ANDERSON CARNEIRO DA SILVA;2;1120;1;Principal;EMEB  PREFEITO ALDINO PINOTTI;1;Convencional;RUA ANTONIO SIMIONATO, 103;VILA SANTA TEREZINHA;9780180;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;357;357
46;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;91;44444;ANDERSON CARNEIRO DA SILVA;1;1120;1;Principal;EMEB  PREFEITO ALDINO PINOTTI;1;Convencional;RUA ANTONIO SIMIONATO, 103;VILA SANTA TEREZINHA;9780180;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;335;335
47;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;92;44444;ANDERSON CARNEIRO DA SILVA;1;1120;1;Principal;EMEB  PREFEITO ALDINO PINOTTI;1;Convencional;RUA ANTONIO SIMIONATO, 103;VILA SANTA TEREZINHA;9780180;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;350;350
48;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;95;44444;ANDERSON CARNEIRO DA SILVA;1;1139;1;Principal;EMEB MARIO MARTINS DE ALMEIDA;1;Convencional;RUA SAO JOAO, 169;JARDIM SÃO PAULO;9715240;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;344;344
49;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;99;44444;ANDERSON CARNEIRO DA SILVA;4;1139;1;Principal;EMEB MARIO MARTINS DE ALMEIDA;1;Convencional;RUA SAO JOAO, 169;JARDIM SÃO PAULO;9715240;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;338;338
50;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;100;44444;ANDERSON CARNEIRO DA SILVA;3;1139;1;Principal;EMEB MARIO MARTINS DE ALMEIDA;1;Convencional;RUA SAO JOAO, 169;JARDIM SÃO PAULO;9715240;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;316;316
51;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;103;44444;ANDERSON CARNEIRO DA SILVA;1;1147;1;Principal;EMEB  PROF CASSIANO FARIA;1;Convencional;RUA LEILA GONCALVES, 480;VILA GONÇALVES;9725050;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;265;265
52;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;103;28300;ANDERSON CARNEIRO DA SILVA;1;1147;1;Principal;EMEB  PROF CASSIANO FARIA;1;Convencional;RUA LEILA GONCALVES, 480;VILA GONÇALVES;9725050;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;265;265
53;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;105;44444;ANDERSON CARNEIRO DA SILVA;1;1147;1;Principal;EMEB  PROF CASSIANO FARIA;1;Convencional;RUA LEILA GONCALVES, 480;VILA GONÇALVES;9725050;-1,0;-1,0;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;268;268
54;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;113;44444;ANDERSON CARNEIRO DA SILVA;1;1163;1;Principal;EE PROF CARLOS PEZZOLO;1;Convencional;RUA TIRADENTES, 1755;SANTA TEREZINHA;9781220;-1,0;-1,0;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;346;346
55;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;113;28300;ANDERSON CARNEIRO DA SILVA;3;1163;1;Principal;EE PROF CARLOS PEZZOLO;1;Convencional;RUA TIRADENTES, 1755;SANTA TEREZINHA;9781220;-1,0;-1,0;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;346;346
56;2016;02/10/2016;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;114;44444;ANDERSON CARNEIRO DA SILVA;1;1171;1;Principal;EE PROF ANDRE FERREIRA;1;Convencional;RUA REGENTE LIMA E SILVA, 301;FERRAZÓPOLIS;9781130;-1,0;-1,0;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;336;336
57;2020;15/11/2020;SP;70750;SÃO BERNARDO DO CAMPO;70750;SÃO BERNARDO DO CAMPO;174;114;28300;ANDERSON CARNEIRO DA SILVA;2;1171;1;Principal;EE PROF ANDRE FERREIRA;1;Convencional;RUA REGENTE LIMA E SILVA, 301;FERRAZÓPOLIS;9781130;-1,0;-1,0;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;336;336
